Area;Key;Comment;Default language;Comment.fi-FI;.fi-FI;Comment.sv-SE;.sv-SE
Building;laatu__vaat_foreman_personalIdentityCode;The socialSecurityNumber attribute in the Foreman class must meet the formatting requirements for a Finnish personal identity code;The socialSecurityNumber attribute in the Foreman class must meet the formatting requirements for a Finnish personal identity code;Työnjohtaja-luokan Henkilötunnus-attribuutin tulee täyttää suomalaisen henkilötunnuksen muotovaatimukset;Työnjohtaja-luokan Henkilötunnus-attribuutin tulee täyttää suomalaisen henkilötunnuksen muotovaatimukset;;Attributet personbeteckning i klassen Arbetsledare ska uppfylla formatkraven för en finsk personbeteckning
Building;laatu__vaat_planner_personalIdentityCode;The socialSecurityNumber attribute in the Planner class must meet the formatting requirements for a Finnish personal identity code;The socialSecurityNumber attribute in the Planner class must meet the formatting requirements for a Finnish personal identity code;Suunnittelija-luokan Henkilötunnus-attribuutin tulee täyttää suomalaisen henkilötunnuksen muotovaatimukset;Suunnittelija-luokan Henkilötunnus-attribuutin tulee täyttää suomalaisen henkilötunnuksen muotovaatimukset;;Attributet personbeteckning i klassen Planerare ska uppfylla formatkraven för en finsk personbeteckning.
Building;quality__req_address_addressName;The addressName attribute in the Address class must meet the formatting requirements;The addressName attribute in the Address class must meet the formatting requirements;"Katunumerossa ei saa esiintyä blankkoja alussa ja/tai lopussa.
Katunimessä pitää esiintyä vähintään yksi pieni tai iso kirjain
Yli yhden merkin mittaisessa katunimessä pitää esiintyä vähintään yksi pieni ja yksi iso kirjain
Katunimessä ei saa esiintyä pelkkiä numeroita";Osoite-luokan osoitenimi-attribuutin tulee täyttää kirjoitusasun muotovaatimukset;"I gatunumret får det inte finnas mellanslag i början och/eller slutet.
Gatunamnet ska innehålla åtminstone en liten eller stor bokstav
I ett gatunamn som är längre än ett tecken ska det finnas minst en liten och en stor bokstav
Gatunamnet får inte bestå enbart av siffror";Attributet adressnamn i klassen adress ska uppfylla formatkraven för skrivsätt
Building;quality__req_addressApartmentIdentifier_apartmentNumber;The value of the letterSuffix or apartmentNumber attribute in the addressApartmentIdentifier must be between 0 and 999.;The value of the letterSuffix or apartmentNumber attribute in the addressApartmentIdentifier must be between 0 and 999.;OsoiterakenteenMukainenHuoneistoTunnus-luokan kirjainosa- tai  numeroOsa-attribuutin arvon tulee olla 0-999.;OsoiterakenteenMukainenHuoneistoTunnus-luokan kirjainosa- tai  numeroOsa-attribuutin arvon tulee olla 0-999.;;Värdet för attributet bokstavsdel eller sifferdel i klassen AdressEnligtByggnadensLägenhetsBetäckning ska vara 0-999.
Building;quality__req_addressApartmentIdentifier_error;Unable to update the apartments address apartmentidentifier in the Population Information System;Unable to update the apartments address apartmentidentifier in the Population Information System;;Huoneiston muuttuvan tunnuksen päivittäminen ei onnistunut VTJ:ssä;;Misslyckades att updatera lägenhetens adress lägenhetsbeteckning i BDS
Building;quality__req_addressKey_mandatory;;An address key (addressKey) must be provided for all addresses.;;Kaikille osoitteille tulee toimittaa osoitteen avain (addressKey).;;
Building;quality__req_addressNumber_sequence;The sequential numbers of the addresses of the building object must be consecutive and start with the number 1;The sequential numbers of the addresses of the building object must be consecutive and start with the number 1;;Rakennuskohteen osoitteiden järjestysnumerot tulee olla juoksevia ja alkaa numerosta 1;;Sekvensnumren på adresserna till byggobjektet måste vara konsekutiva och börja med siffran 1
Building;quality__req_apartment_addressApartmentIdentifier_exists;If the value of the typeOfChange attribute in the Apartment class is '01 - Addition', then the database must not contain an Apartment-class addressApartmentIdentifier attribute for a building with the same identifier;If the value of the typeOfChange attribute in the Apartment class is '01 - Addition', then the database must not contain an Apartment-class addressApartmentIdentifier attribute for a building with the same identifier;Jos Huoneisto-luokan MuutoksenLaji -attribuutin arvo on '01 - Lisäys', niin Huoneisto-luokan osoiteHuoneistoTunnus-attribuutin arvoa ei saa löytyä tietokannasta saman tunnuksen rakennukselta;Jos Huoneisto-luokan MuutoksenLaji -attribuutin arvo on '01 - Lisäys', niin Huoneisto-luokan osoiteHuoneistoTunnus-attribuutin arvoa ei saa löytyä tietokannasta saman tunnuksen rakennukselta;;Om värdet för attributet ÄndringsTyp i klassen Lägenhet är '01 - Tillägg', får värdet för attributet adressLägenhetsBeteckning i klassen Lägenhet inte finnas i databasen för samma byggnad med samma beteckning.
Building;quality__req_apartment_addressnumber;The address corresponding to the addressNumber attribute in the Apartment class must be found in the related building Object;The address corresponding to the addressNumber attribute in the Apartment class must be found in the related building Object;Huoneisto-luokan Osoitejärjestysnumero-attribuutin mukaisen osoitteen tulee löytyä siihen liittyvältä rakennuskohteelta;Huoneisto-luokan Osoitejärjestysnumero-attribuutin mukaisen osoitteen tulee löytyä siihen liittyvältä rakennuskohteelta;;Adressen som anges med attributet Adressordningsnummer  i klassen Lägenhet ska finnas för det tillhörande byggnadsobjektet
Building;quality__req_apartment_apartmentIdentifier;The value of the permanentApartmentIdentifier attribute in the Apartment class must meet the formatting requirements;The value of the permanentApartmentIdentifier attribute in the Apartment class must meet the formatting requirements;Pysyvän huoneistotunnuksen pituuden tulee olla 10 merkkiä ja sen tulee alkaa merkillä '2'.;Huoneisto-luokan pysyväHuoneistoTunnus-attribuutin arvon  tulee täyttää muotovaatimukset;Den permanenta lägenhetsbeteckningen ska bestå av 10 tecken och börja med tecknet '2'.;Värdet för attributet permanentLägenhetsbeteckning i klassen Lägenhet ska uppfylla formatkraven
